iter	Logloss
0	0.6578587201
1	0.6269124687
2	0.5987555203
3	0.5731553256
4	0.5517553204
5	0.5327808269
6	0.5149284385
7	0.5002642225
8	0.4868890399
9	0.4749449706
10	0.4646173512
11	0.4550307892
12	0.4467562984
13	0.4393961468
14	0.4330781786
15	0.426828012
16	0.4217266755
17	0.4173456553
18	0.4129323245
19	0.4087957057
20	0.4054906864
21	0.4021253927
22	0.3993942704
23	0.3970003014
24	0.3947617999
25	0.3926533087
26	0.3906221239
27	0.388815534
28	0.3873182203
29	0.3857837131
30	0.3843076693
31	0.3832399707
32	0.3820990588
33	0.3810708211
34	0.3802490089
35	0.3792245891
36	0.3783883386
37	0.3774858732
38	0.3765973969
39	0.3757797576
40	0.3751650449
41	0.3745168769
42	0.3739139292
43	0.3733508917
44	0.3728933997
45	0.372532499
46	0.3720744201
47	0.3717334709
48	0.3713464609
49	0.3709533076
50	0.370674328
51	0.3703278077
52	0.3700461042
53	0.3697761368
54	0.3695327786
55	0.3693240058
56	0.3690451638
57	0.3688396366
58	0.368580775
59	0.3682459329
60	0.3680734697
61	0.3678774472
62	0.3676985363
63	0.3674698048
64	0.3672740287
65	0.3670857289
66	0.3669086798
67	0.3667106289
68	0.3665631737
69	0.366366905
70	0.3661505616
71	0.3659667751
72	0.3658252315
73	0.3656682861
74	0.365520005
75	0.3653624945
76	0.3651842356
77	0.3650662077
78	0.3649213969
79	0.3648189737
80	0.3646956646
81	0.3645717397
82	0.3644411353
83	0.3643268021
84	0.3642277912
85	0.3641094735
86	0.3639960677
87	0.3639180079
88	0.363794706
89	0.3636322329
90	0.3634906966
91	0.363382275
92	0.3632644934
93	0.3631653738
94	0.3630453174
95	0.3629583034
96	0.3628207805
97	0.3627524718
98	0.3626571266
99	0.362530811
100	0.3624609737
101	0.3623525449
102	0.3622035032
103	0.3620671322
104	0.3619561387
105	0.361878318
106	0.3617693675
107	0.3616723778
108	0.3616129364
109	0.3614701033
110	0.3613789599
111	0.3612755297
112	0.3611964412
113	0.3611059208
114	0.3610201456
115	0.3609161142
116	0.3608446179
117	0.3607729188
118	0.3606988435
119	0.3606269343
120	0.3605715136
121	0.3604809136
122	0.3603812071
123	0.3603218889
124	0.3602339766
125	0.3601796064
126	0.3601151301
127	0.3600571014
128	0.3599727968
129	0.3599034739
130	0.3598253054
131	0.3597365237
132	0.3596718808
133	0.3595986459
134	0.3595109943
135	0.3594372812
136	0.3593727035
137	0.3592968533
138	0.3592326885
139	0.3591814189
140	0.3591067351
141	0.3590450479
142	0.3589852009
143	0.3589215287
144	0.3588567988
145	0.3587944307
146	0.3587222172
147	0.3586475624
148	0.3585674524
149	0.3584983903
150	0.3584480987
151	0.3583712488
152	0.3583267384
153	0.3582371018
154	0.3581722198
155	0.3581181032
156	0.3580628564
157	0.3580102467
158	0.3579417931
159	0.3578623496
160	0.3578137533
161	0.3577637081
162	0.3576844457
163	0.3576060889
164	0.3575166552
165	0.3574577861
166	0.3574002935
167	0.3573326296
168	0.3572779407
169	0.3572333361
170	0.3571637887
171	0.3571095706
172	0.3570598369
173	0.3570094802
174	0.3569476047
175	0.3568940676
176	0.3568506946
177	0.3567816398
178	0.3567065647
179	0.3566467756
180	0.3565911231
181	0.3565378903
182	0.3564919528
183	0.3564419076
184	0.3563758085
185	0.3563318197
186	0.3562974517
187	0.3562392419
188	0.3561918192
189	0.3561386951
190	0.3560699735
191	0.3559776854
192	0.3559118037
193	0.3558590562
194	0.3557944495
195	0.3557453678
196	0.3557039002
197	0.3556514715
198	0.3556041647
199	0.3555560683
200	0.3555062187
201	0.3554190525
202	0.3553720645
203	0.3553292349
204	0.3552774727
205	0.3552071718
206	0.3551654506
207	0.3551307203
208	0.3550768862
209	0.3550351867
210	0.3549826349
211	0.3549225777
212	0.3548731193
213	0.3548209804
214	0.3547631619
215	0.3547036553
216	0.3546603113
217	0.354617641
218	0.3545667627
219	0.3545299895
220	0.3544780462
221	0.3543913509
222	0.3543488762
223	0.3543105744
224	0.3542530166
225	0.3542160478
226	0.3541660243
227	0.3541160733
228	0.3540728235
229	0.3540145267
230	0.3539613881
231	0.3539192539
232	0.3538646809
233	0.3538231697
234	0.3537759282
235	0.3537196961
236	0.3536774823
237	0.3536288208
238	0.3535827166
239	0.3535218698
240	0.3534408542
241	0.3533631929
242	0.3533148211
243	0.3532561912
244	0.3532008937
245	0.3531404308
246	0.353093537
247	0.3530317702
248	0.3529780592
249	0.3529120181
250	0.3528398119
251	0.3527888466
252	0.3527296081
253	0.3526851194
254	0.3526517801
255	0.3525946063
256	0.3525442351
257	0.3524819466
258	0.3524303583
259	0.3523909046
260	0.3523088024
261	0.3522431597
262	0.3521947735
263	0.3521484085
264	0.3520950598
265	0.3520492164
266	0.3519616591
267	0.35191633
268	0.3518657922
269	0.3518041268
270	0.3517572692
271	0.351708144
272	0.3516747467
273	0.3516168847
274	0.3515502567
275	0.3514930829
276	0.3514417192
277	0.3513683611
278	0.3513167728
279	0.351263511
280	0.3511908919
281	0.3511266184
282	0.3510609613
283	0.3510167769
284	0.3509662463
285	0.3509224386
286	0.3508847091
287	0.3508169293
288	0.3507796417
289	0.3507361601
290	0.3506997273
291	0.3506473783
292	0.3506014987
293	0.3505513521
294	0.3504953302
295	0.3504197263
296	0.3503762953
297	0.3503167743
298	0.3502513924
299	0.3502101565
