iter	Passed	Remaining
0	90	27022
1	156	23372
2	215	21306
3	282	20917
4	342	20180
5	396	19404
6	440	18436
7	489	17859
8	534	17291
9	581	16851
10	624	16413
11	683	16407
12	744	16434
13	805	16450
14	870	16535
15	938	16660
16	1012	16857
17	1072	16801
18	1125	16642
19	1179	16511
20	1237	16441
21	1303	16468
22	1367	16470
23	1429	16442
24	1500	16507
25	1560	16442
26	1616	16347
27	1670	16231
28	1725	16125
29	1778	16002
30	1826	15845
31	1881	15755
32	1946	15752
33	2012	15743
34	2073	15701
35	2146	15740
36	2214	15744
37	2273	15678
38	2346	15703
39	2414	15693
40	2487	15715
41	2571	15795
42	2667	15942
43	2760	16063
44	2808	15913
45	2852	15752
46	2905	15642
47	2953	15504
48	3008	15411
49	3059	15299
50	3104	15156
51	3149	15021
52	3199	14910
53	3248	14797
54	3305	14726
55	3365	14665
56	3460	14752
57	3559	14850
58	3632	14839
59	3710	14840
60	3781	14817
61	3836	14728
62	3899	14669
63	3963	14616
64	4021	14540
65	4078	14461
66	4152	14439
67	4237	14456
68	4314	14445
69	4402	14464
70	4460	14387
71	4528	14338
72	4582	14248
73	4643	14180
74	4695	14086
75	4756	14018
76	4817	13950
77	4869	13860
78	4927	13785
79	4980	13695
80	5035	13615
81	5095	13547
82	5152	13470
83	5210	13397
84	5264	13316
85	5320	13239
86	5397	13215
87	5474	13189
88	5556	13173
89	5639	13158
90	5702	13096
91	5762	13028
92	5819	12952
93	5880	12887
94	5937	12812
95	5998	12745
96	6069	12702
97	6129	12634
98	6187	12563
99	6244	12489
100	6302	12416
101	6353	12333
102	6414	12267
103	6472	12197
104	6532	12130
105	6583	12049
106	6678	12046
107	6759	12016
108	6836	11979
109	6918	11949
110	6973	11874
111	7043	11823
112	7104	11756
113	7154	11673
114	7207	11594
115	7261	11517
116	7315	11442
117	7366	11361
118	7418	11283
119	7466	11199
120	7513	11114
121	7562	11034
122	7624	10971
123	7696	10924
124	7777	10888
125	7843	10831
126	7897	10758
127	7942	10673
128	7993	10596
129	8050	10527
130	8108	10460
131	8169	10397
132	8224	10326
133	8286	10265
134	8349	10205
135	8418	10151
136	8479	10088
137	8546	10033
138	8605	9967
139	8662	9899
140	8735	9850
141	8808	9800
142	8868	9737
143	8934	9678
144	9004	9625
145	9067	9564
146	9125	9497
147	9197	9446
148	9265	9389
149	9332	9332
150	9390	9266
151	9458	9209
152	9517	9144
153	9599	9100
154	9660	9037
155	9725	8977
156	9786	8913
157	9850	8852
158	9917	8794
159	9980	8732
160	10039	8667
161	10097	8601
162	10161	8540
163	10231	8484
164	10298	8425
165	10364	8366
166	10429	8306
167	10501	8251
168	10557	8183
169	10619	8120
170	10679	8056
171	10735	7989
172	10787	7918
173	10838	7848
174	10903	7788
175	10960	7721
176	11025	7661
177	11087	7599
178	11151	7538
179	11210	7473
180	11271	7410
181	11327	7344
182	11381	7276
183	11438	7211
184	11501	7149
185	11559	7084
186	11613	7017
187	11670	6952
188	11732	6890
189	11786	6824
190	11849	6762
191	11908	6698
192	11970	6636
193	12026	6571
194	12084	6507
195	12141	6442
196	12202	6380
197	12257	6314
198	12311	6248
199	12374	6187
200	12435	6124
201	12503	6065
202	12567	6004
203	12625	5941
204	12683	5877
205	12757	5821
206	12822	5760
207	12881	5697
208	12938	5633
209	12998	5570
210	13055	5506
211	13120	5446
212	13177	5382
213	13235	5318
214	13295	5256
215	13357	5194
216	13443	5142
217	13522	5086
218	13593	5027
219	13659	4966
220	13731	4908
221	13803	4849
222	13870	4789
223	13931	4726
224	14002	4667
225	14062	4604
226	14124	4542
227	14185	4479
228	14248	4417
229	14340	4364
230	14411	4304
231	14487	4246
232	14556	4185
233	14620	4123
234	14675	4059
235	14735	3996
236	14789	3931
237	14850	3868
238	14905	3804
239	14956	3739
240	15004	3673
241	15073	3612
242	15127	3548
243	15183	3484
244	15238	3420
245	15294	3357
246	15350	3293
247	15411	3231
248	15486	3171
249	15561	3112
250	15652	3055
251	15724	2995
252	15800	2935
253	15857	2871
254	15920	2809
255	15993	2748
256	16056	2686
257	16127	2625
258	16195	2563
259	16256	2501
260	16315	2437
261	16392	2377
262	16469	2317
263	16539	2255
264	16617	2194
265	16681	2132
266	16748	2070
267	16808	2007
268	16900	1947
269	16975	1886
270	17053	1824
271	17126	1763
272	17180	1699
273	17247	1636
274	17314	1574
275	17378	1511
276	17446	1448
277	17515	1386
278	17571	1322
279	17632	1259
280	17700	1196
281	17755	1133
282	17817	1070
283	17877	1007
284	17936	944
285	17995	880
286	18055	817
287	18119	754
288	18171	691
289	18228	628
290	18284	565
291	18340	502
292	18393	439
293	18451	376
294	18511	313
295	18563	250
296	18623	188
297	18687	125
298	18751	62
299	18806	0
