SK_ID_CURR,AGE,CODE_GENDER,NAME_FAMILY_STATUS,AMT_INCOME_TOTAL,OCCUPATION_TYPE
100010,51,M,Married,360000.0,Managers
100029,30,M,Married,135000.0,Drivers
100059,51,M,Married,540000.0,Managers
100060,33,M,Married,76500.0,
100063,35,F,Married,180000.0,Managers
100078,53,F,Married,180000.0,Core staff
100086,39,F,Widow,135000.0,Laborers
100110,29,M,Married,135000.0,Laborers
100126,35,M,Married,135000.0,
100131,37,F,Single / not married,270000.0,Realty agents
100134,27,F,Married,202500.0,Secretaries
100154,33,M,Married,144000.0,Drivers
100155,32,M,Married,157500.0,Laborers
100161,44,F,Married,90000.0,Sales staff
100173,31,F,Single / not married,117000.0,Core staff
100174,39,F,Married,180000.0,Sales staff
100176,48,F,Married,135000.0,Laborers
100179,31,F,Married,202500.0,Managers
100188,41,F,Married,225000.0,Core staff
100193,48,F,Separated,225000.0,
100196,31,F,Married,164250.0,Secretaries
100197,32,F,Married,157500.0,Sales staff
100201,33,F,Single / not married,180000.0,Core staff
100205,50,F,Married,63000.0,Laborers
100207,45,F,Civil marriage,157500.0,Waiters/barmen staff
100211,38,M,Married,225000.0,Cooking staff
100216,54,F,Married,90000.0,Sales staff
100220,40,F,Single / not married,225000.0,Sales staff
100229,49,F,Married,157500.0,Medicine staff
100251,53,M,Married,202500.0,Drivers
100262,37,M,Married,315000.0,Drivers
100265,22,F,Single / not married,112500.0,Sales staff
100288,27,F,Civil marriage,157500.0,Laborers
100299,52,F,Married,112500.0,Medicine staff
100345,57,F,Married,157500.0,Laborers
100346,48,F,Separated,180000.0,Core staff
100379,52,M,Married,112500.0,Drivers
100389,38,M,Married,247500.0,Core staff
100408,43,F,Separated,81000.0,Cleaning staff
100414,33,F,Single / not married,112500.0,Sales staff
100417,44,F,Widow,180000.0,Core staff
100433,43,F,Civil marriage,157500.0,Sales staff
100451,53,F,Married,144000.0,Laborers
100454,37,M,Married,607500.0,Managers
100455,31,F,Married,135000.0,Core staff
100464,26,M,Single / not married,112500.0,Drivers
100475,55,F,Separated,405000.0,Accountants
100482,50,F,Civil marriage,112500.0,Medicine staff
100491,32,M,Married,193500.0,Drivers
100532,50,M,Civil marriage,99000.0,Laborers
100536,39,F,Married,99000.0,Sales staff
100557,29,F,Married,225000.0,Sales staff
100559,56,F,Married,450000.0,Core staff
100563,41,F,Married,135000.0,Sales staff
100578,30,M,Married,135000.0,Laborers
100588,32,F,Single / not married,157500.0,Laborers
100589,27,M,Single / not married,103500.0,
100599,44,M,Married,315000.0,Laborers
100603,54,M,Married,144000.0,Security staff
100615,50,F,Single / not married,180000.0,Security staff
100635,33,F,Married,157500.0,Laborers
100648,34,M,Civil marriage,67500.0,Core staff
100659,51,F,Married,90000.0,Core staff
100660,40,M,Civil marriage,234000.0,Sales staff
100661,34,M,Married,202500.0,Managers
100676,51,M,Married,121500.0,Laborers
100685,54,M,Single / not married,265500.0,Drivers
100686,35,F,Married,135000.0,Core staff
100722,44,M,Married,540000.0,
100725,31,F,Married,112500.0,
100727,46,F,Separated,112500.0,Sales staff
100733,39,F,Married,157500.0,Core staff
100735,39,F,Married,292500.0,Medicine staff
100743,54,F,Married,38250.0,Laborers
100756,53,F,Married,202500.0,Core staff
100759,44,M,Married,202500.0,Drivers
100801,26,F,Single / not married,112500.0,Core staff
100803,32,F,Civil marriage,135000.0,Sales staff
100813,41,F,Widow,135000.0,
100820,49,M,Civil marriage,157500.0,Drivers
100833,40,F,Civil marriage,121500.0,Medicine staff
100848,40,M,Married,157500.0,High skill tech staff
100853,36,F,Married,117000.0,Cooking staff
100858,40,M,Married,270000.0,Drivers
100876,36,F,Married,139500.0,High skill tech staff
100877,46,F,Widow,90000.0,Laborers
100904,48,F,Married,45000.0,Sales staff
100961,32,M,Single / not married,81000.0,Laborers
100969,23,F,Single / not married,216000.0,
100973,48,F,Married,202500.0,Security staff
100979,49,F,Married,157500.0,Sales staff
100986,47,M,Married,180000.0,Drivers
100989,32,F,Single / not married,112500.0,Sales staff
100995,54,F,Single / not married,157500.0,Cooking staff
101010,30,F,Married,67500.0,
101013,38,M,Married,202500.0,Laborers
101028,37,F,Married,112500.0,
101030,43,F,Married,67500.0,Core staff
